"document_number","spill_type","closed","human_error","equipment_failure","corrective_actions_completed","incident_date","discovery_date","initial_report_date","submit_date","resolution_date","supplemental_report_date","operator","facility_type","facility_id","api_county_code","api_sequence_number","county","municipality","lat","long","oil_bbls_spilled","condensate_bbls_spilled","produced_water_bbls_spilled","drilling_fluid_bbls_spilled","flow_back_fluid_bbls_spilled","other_ep_waste_bbls_spilled"
"402416303","Recent","Closed",False,False,True,"2020-06-07","2020-06-07","2020-06-09","2020-06-09","2020-06-16","2020-06-17","PDC ENERGY INC                                    ",NULL,"476850","   ","     ","WELD",NULL,"40.4108","-104.58182",0,0,0,7,0,0
"402394608","Recent","Closed",False,False,True,"2020-03-30","2020-03-30","2020-05-11","2020-05-11","2020-06-12","2020-06-16","KTM OPERATING LLC                                 ","FLOWLINE SYSTEM","476205","   ","     ","LINCOLN",NULL,"38.861377","-103.569046",2,0,0,0,0,0
"402420010","Historical","Closed",False,False,False,"2020-06-11","2020-06-11","2020-06-12","2020-06-12","2020-06-17",NULL,"NOBLE ENERGY INC                                  ","OFF-LOCATION FLOWLINE","476896","123","14636","WELD",NULL,"40.305992","-104.633416",NULL,NULL,NULL,NULL,NULL,NULL
"402416948","Recent","Closed",False,False,False,"2020-06-09","2020-06-09","2020-06-09","2020-06-11","2020-06-18","2020-06-18","KERR MCGEE OIL & GAS ONSHORE LP                   ","TANK BATTERY","476853","   ","     ","WELD",NULL,"40.128569","-104.758779",25,0,0,0,0,0
"402379900","Recent","Closed",False,False,True,"2020-04-22","2020-04-22","2020-04-24","2020-04-24","2020-06-18",NULL,"NOBLE ENERGY INC                                  ","WELL","475847","123","33086","WELD",NULL,"40.77144","-103.93402",NULL,NULL,NULL,NULL,NULL,NULL
"402387187","Recent","Closed",False,False,False,"2020-04-30","2020-04-30","2020-05-01","2020-05-01","2020-06-19",NULL,"NOBLE ENERGY INC                                  ","OFF-LOCATION FLOWLINE","476117","   ","     ","WELD",NULL,"40.448517","-104.863028",NULL,NULL,NULL,NULL,NULL,NULL
"402335921","Recent","Closed",NULL,NULL,False,"2020-03-07","2020-03-07","2020-03-09","2020-03-09","2020-06-24",NULL,"CAERUS PICEANCE LLC                               ",NULL,"473128","   ","     ","GARFIELD",NULL,"39.599303","-108.158915",NULL,NULL,NULL,NULL,NULL,NULL
"402413503","Recent","Closed",False,False,True,"2020-06-03","2020-06-03","2020-06-04","2020-06-04","2020-06-18","2020-06-18","TEP ROCKY MOUNTAIN LLC                            ",NULL,"476938","   ","     ","RIO BLANCO",NULL,"39.879153","-108.398415",0,0,0,0,0,0
"402424832","Recent","Closed",False,False,True,"2020-06-16","2020-06-16","2020-06-17","2020-06-17","2020-06-19","2020-06-19","EXTRACTION OIL & GAS INC                          ",NULL,"476955","   ","     ","WELD",NULL,"40.207903","-105.015189",0,0,82,0,0,0
"402401981","Recent","Closed",NULL,NULL,False,"2020-05-19","2020-05-19","2020-05-19","2020-05-19","2020-06-25",NULL,"CRESTONE PEAK RESOURCES OPERATING LLC             ","TANK BATTERY","476486","   ","     ","WELD",NULL,"40.149486","-104.795824",NULL,NULL,NULL,NULL,NULL,NULL
"402428213","Recent","Closed",False,False,True,"2020-06-18","2020-06-18","2020-06-22","2020-06-22","2020-06-22","2020-06-22","TEP ROCKY MOUNTAIN LLC                            ",NULL,"477139","   ","     ","GARFIELD",NULL,"39.479441","-108.013099",0,0,20,0,0,0
"402424754","Recent","Closed",False,False,True,"2020-06-17","2020-06-17","2020-06-17","2020-06-19","2020-06-26","2020-06-26","KERR MCGEE OIL & GAS ONSHORE LP                   ","TANK BATTERY","476993","   ","     ","WELD",NULL,"40.181502","-105.009788",2,0,0,0,0,0
"402415105","Recent","Closed",False,False,True,"2020-06-07","2020-06-07","2020-06-08","2020-06-08","2020-07-31","2020-07-31","CORAL PRODUCTION CORP                             ","TANK BATTERY","476836","   ","     ","WASHINGTON",NULL,"39.767816","-102.967475",350,0,100,0,0,0
"402429831","Recent","Closed",False,False,True,"2020-06-23","2020-06-23","2020-06-24","2020-06-24","2020-07-01","2020-07-01","PDC ENERGY INC                                    ","WELL","477028","123","37130","WELD",NULL,"40.580332","-104.640566",3,0,0,0,0,0
"402419178","Recent","Closed",NULL,NULL,True,"2020-06-10","2020-06-10","2020-06-11","2020-06-11","2020-07-02",NULL,"GRIZZLY OPERATING LLC                             ",NULL,"476904","   ","     ","GARFIELD",NULL,"39.504961","-107.65528",NULL,NULL,NULL,NULL,NULL,NULL
