"Month","Display Month","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"01","January  ","271","135","138","147","92","115","160","102","118","74","68","40"
"02","February ","277","126","116","111","87","96","131","139","96","85","49","66"
"03","March    ","304","139","164","154","66","127","194","148","110","84","60","88"
"04","April    ","220","136","173","150","82","120","217","169","52","81","56","96"
"05","May      ","245","206","167","134","97","153","190","156","19","76","73","82"
"06","June     ","301","178","191","119","83","140","180","114","33","94","55","92"
"07","July     ","243","148","174","83","86","170","151","126","16","81","53","98"
"08","August   ","198","173","225","112","117","164","165","125","12","80","80","75"
"09","September","190","160","197","101","77","141","135","101","44","79","86","88"
"10","October  ","143","218","164","130","82","135","188","102","64","81","103","80"
"11","November ","138","178","163","109","86","135","128","73","78","97","54","27"
"12","December ","135","169","179","74","73","127","107","98","72","71","58","10"
